Issue_ID,Severity,Category,Page_File,Line_Number,Element_Section,Current_Content,Expected_Content,Developer_Fix_Instructions
BU-QA-001,Critical,"Visual Typo / Spelling",about.php,1123,"University Overview Badge","<span class=""bu-overview-badge-num"">2004444</span> Established","<span class=""bu-overview-badge-num"">2004</span> Established","Remove extra '444' digits. Bhabha University was established in 2004."
BU-QA-002,Critical,"Grammar & Legal Compliance",online-admission.php,1115,"Student Declaration Checkbox","The above information given by me in the Admission Form are true to the best of my knowledge. However should it be found that any information therein are untrue/wrong I am/my ward is liable to be disqualified for Admission.","The above information given by me in the Admission Form is true to the best of my knowledge. However, should it be found that any information therein is untrue/wrong, I am / my ward is liable to be disqualified for admission.","Change 'are true' to 'is true' and 'therein are' to 'therein is' ('information' is an uncountable singular noun)."
BU-QA-003,Critical,"Grammar & Typo in Declaration",online-admission.php,1117,"Student Declaration Checkbox","If I/my ward selected for admission, I/my promise to abide by the rules & regulations of the Institute/University and maintain discipline in the Institute and the Hostel.","If I / my ward is selected for admission, I promise to abide by the rules & regulations of the Institute/University and maintain discipline in the Institute and the Hostel.","Add missing auxiliary verb 'is selected' and fix pronoun typo 'I/my promise' to 'I promise'."
BU-QA-004,High,"Grammar / Agreement",online-admission.php,1120,"Refund Clause in Declaration","I understand that if I get my admission/registration cancelled, fees deposited by me is nonrefundable.","I understand that if I get my admission/registration cancelled, the fee deposited by me is non-refundable.","Change 'fees deposited by me is nonrefundable' to 'the fee deposited by me is non-refundable' (or 'fees... are non-refundable')."
BU-QA-005,Critical,"Spelling Mistake",admissions.php,56,"Admission Guidelines Intro","...please refer Bhabha Unversity Website","...please refer to the Bhabha University Website","Fix spelling of 'Unversity' to 'University' (missing letter 'i') and add preposition 'refer to'."
BU-QA-006,High,"Spelling Typo",admissions.php,63,"Reservation Policy Item 3","Seats allotment for reserved category will de done as per the ordinance of Bhabha University...","Seat allotment for reserved category will be done as per the ordinance of Bhabha University...","Replace typo 'will de done' with 'will be done'."
BU-QA-007,Medium,"Spelling & Professionalism",admissions.php,65,"Document Submission Item 5","...applicant shall submit two sets of self attested zerox copies of all the documents.","...applicant shall submit two sets of self-attested photocopies of all the documents.","Replace misspelled brand term 'zerox' with standard term 'photocopies' (or 'Xerox')."
BU-QA-008,High,"Outdated Content & Grammar",admissions.php,57-58,"Counseling Dates & Guidelines","Process of counseling and admissions starts from 1st April 2020 and continues till last date of admissions. It will be held on every working day of University on the basis of merit marks obtained in the entrance examination (if require)... In case of Lockdown or any other circumstances University may also conduct Online Counselling, with due Approvals After Online Counselling...","Process of counseling and admissions starts from 1st April and continues till the last date of admissions. It will be held on every working day of the University on the basis of merit marks obtained in the entrance examination (if required)... In case of special circumstances, the University may also conduct Online Counselling with due approvals. After online counselling...","1) Remove outdated year '2020' and COVID 'Lockdown' text. 2) Fix '(if require)' to '(if required)'. 3) Add missing period after 'due approvals'."
BU-QA-009,High,"Wrong Heading / Copy-Paste",activities.php,"27, 33","Banner Heading & Breadcrumb","<h3>Contact US</h3> / breadcrumb: contact us","<h3>Campus Activities</h3> / breadcrumb: Activities","Update page title and breadcrumb from leftover contact page copy-paste."
BU-QA-010,High,"Wrong Heading / Copy-Paste",career.php,"27, 33","Banner Heading & Breadcrumb","<h3>Contact US</h3> / breadcrumb: contact us","<h3>Careers & Job Opportunities</h3> / breadcrumb: Careers","Update page title and breadcrumb from leftover contact page copy-paste."
BU-QA-011,High,"Wrong Heading / Copy-Paste",highlights.php,"27, 33","Banner Heading & Breadcrumb","<h3>Contact US</h3> / breadcrumb: contact us","<h3>University Highlights</h3> / breadcrumb: Highlights","Update page title and breadcrumb from leftover contact page copy-paste."
BU-QA-012,High,"Wrong Heading / Copy-Paste",links.php,"27, 33","Banner Heading & Breadcrumb","<h3>Contact US</h3> / breadcrumb: contact us","<h3>Quick Links</h3> / breadcrumb: Quick Links","Update page title and breadcrumb from leftover contact page copy-paste."
BU-QA-013,Medium,"SEO Meta Keywords Spelling",index.php,12,"<meta name=""keywords"">","...bhopal university, Engineering, managment, best college in central india...","...bhopal university, Engineering, management, best college in central india...","Fix 'managment' to 'management' in meta tag keywords."
BU-QA-014,Medium,"Spelling Mistake",oaef.php,"12, 229","Meta Keywords & Section Label","managment (L12) and <p>Affilation/Approvals</p> (L229)","management and <p>Affiliation/Approvals</p>","Fix 'Affilation' to 'Affiliation' and 'managment' to 'management'."
BU-QA-015,Medium,"Grammar & Phrasing",refund-policy.php,51,"Refund Office Hours","The BHABHA UNIVERSITY supports the students. However, if there is a clear error in the amount of payment or payee, please contact our office within 30 days in the hours of 9.30 am and 4.45 pm Indian Standard Time to resolve the issue.","Bhabha University supports its students. However, if there is a discrepancy in the payment amount or transaction details, please contact our accounts office within 30 days between 9:30 AM and 4:45 PM (IST) to resolve the issue.","Rephrase awkward timing 'in the hours of 9.30 am and 4.45 pm' to 'between 9:30 AM and 4:45 PM (IST)' and capitalize appropriately."
BU-QA-016,Medium,"Grammar / Punctuation",term-and-condition.php,50,"Introductory Terms Paragraph","Welcome to our website. If you continue to browse and use this website you are agreeing to comply with and be bound by the following terms and conditions of use","Welcome to our website. If you continue to browse and use this website, you are agreeing to comply with and be bound by the following terms and conditions of use.","Add missing comma after 'use this website,' and terminal period '.' at the end."
BU-QA-017,Low,"Grammar (Subject-Verb Agreement)",why-us.php,51-52,"Our Advantage Section","The ambience and serenity of a world-class infrastructure housed in a clean and green campus creates an ideal environment for holistic growth.","The ambience and serenity of a world-class infrastructure housed in a clean and green campus create an ideal environment for holistic growth.","Change singular verb 'creates' to plural verb 'create' to agree with compound subject 'The ambience and serenity'."
BU-QA-018,Low,"Consistency & Title Casing",inc.footer.php,53,"Rules & Regulations Link","Refund And Cancellation Policy","Refund and Cancellation Policy","Lowercase the conjunction 'and' to maintain uniform title casing."
BU-QA-019,Low,"File Naming Typo",downlod1.php,"Filename & inc.footer.php:26","PDF Downloads Form Page","File name: downlod1.php","File name: download.php (or add redirect alias)","'download' is misspelled as 'downlod'. Consider standardizing the URL slug in .htaccess or file rename."
BU-QA-020,Low,"File Naming Typo",inc.testemonial.php,Filename,"Component Include","File name: inc.testemonial.php","File name: inc.testimonial.php","Misspelled word in include file name 'testemonial' vs 'testimonial'."
